amenity,name,cuisine,longitude,latitude
bar,Mundo feliz de los niños oriental,N/A,-74.0983,4.7374
bar,Terraza Bar,N/A,-74.072,4.6058
bar,Punto Paisa,N/A,-74.1073,4.5883
bar,El Pepino bar,N/A,-74.0536,4.6722
bar,Willo's Rumba Bar,N/A,-74.0981,4.5724
bar,Bar la Almendra,N/A,-74.075,4.6132
bar,Bar el Trebol,N/A,-74.0752,4.6136
bar,N/A,N/A,-74.0745,4.6129
bar,Bar la Mona de la 24,N/A,-74.0744,4.6128
bar,Licorera Bar La 50,N/A,-74.1132,4.618
bar,Matik Matik,N/A,-74.0612,4.653
bar,Licor y menta,N/A,-74.1084,4.5794
bar,Cigarria el Malagueño,N/A,-74.0862,4.5988
bar,Video Bar,N/A,-74.09,4.5937
bar,Bar Santander,N/A,-74.0762,4.6135
bar,Bar JDG,N/A,-74.0839,4.5419
bar,La Ultima y Nos Vamos,N/A,-74.0857,4.5987
bar,El Portal,N/A,-74.0973,4.5665
bar,N/A,N/A,-74.1035,4.5896
bar,Punto 26,N/A,-74.0836,4.6306
bar,Aguila La Isla,N/A,-74.1029,4.5664
bar,Pa Latinos,N/A,-74.0997,4.5843
bar,Terraza Boulevar,N/A,-74.1001,4.5847
bar,El Pachuno,N/A,-74.097,4.5547
bar,La Fonda Del Camino,N/A,-74.0621,4.6516
bar,Bar Tres Esquinas,N/A,-74.0934,4.5479
bar,Bar el Paraiso Aquilar,N/A,-74.097,4.5545
bar,Star's Box,N/A,-74.0513,4.6918
bar,Bar Bolitejo,N/A,-74.1389,4.5516
bar,Karaoke,N/A,-74.0975,4.6247
bar,Bar Rockola,N/A,-74.1045,4.6688
bar,Mr. Monkey,N/A,-74.1046,4.6688
bar,Ibiza Terraza,N/A,-74.1046,4.6688
bar,Shots 53,N/A,-74.1046,4.6689
bar,Billares Modelía,N/A,-74.1234,4.6687
bar,Copacabana,N/A,-74.1175,4.6364
bar,La Quinta Imperial,N/A,-74.135,4.6277
bar,Monte Video Bar,N/A,-74.1133,4.6427
bar,La Oficina Paisa Bar,N/A,-74.1373,4.6108
bar,Mi Baco,N/A,-74.1224,4.6505
bar,GH Bar,N/A,-74.1326,4.6108
bar,Anggelus,N/A,-74.1354,4.6144
bar,Billares El Gran Paris,N/A,-74.1356,4.6145
bar,Karoake Plaza Bar,N/A,-74.1356,4.6146
bar,Bianka,N/A,-74.1173,4.6231
bar,Hard Beer,N/A,-74.1186,4.621
